"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 00:00","2023","09","01","00:00","15.7","","10.4","","70","","","","35","","9","","12.9","","88.69","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 01:00","2023","09","01","01:00","15.0","","9.9","","71","","","","35","","8","","12.9","","88.75","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 02:00","2023","09","01","02:00","14.3","","10.2","","76","","","","30","","9","","12.9","","88.78","","","","","","Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 03:00","2023","09","01","03:00","14.4","","9.2","","71","","","","31","","12","","12.9","","88.79","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 04:00","2023","09","01","04:00","14.6","","9.0","","69","","","","25","","3","","12.9","","88.84","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 05:00","2023","09","01","05:00","14.4","","9.4","","71","","","","32","","13","","12.9","","88.86","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 06:00","2023","09","01","06:00","14.1","","9.9","","76","","","","23","","8","","8.1","","88.90","","","","","","Smoke"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 07:00","2023","09","01","07:00","14.3","","10.0","","75","","","","28","","7","","14.5","","88.92","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 08:00","2023","09","01","08:00","16.0","","9.2","","63","","","","31","","9","","14.5","","88.96","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 09:00","2023","09","01","09:00","16.3","","9.6","","64","","","","27","","10","","14.5","","88.99","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 10:00","2023","09","01","10:00","18.3","","9.5","","56","","","","34","","14","","14.5","","89.00","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 11:00","2023","09","01","11:00","18.8","","8.9","","52","","","","21","","6","","14.5","","88.94","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 12:00","2023","09","01","12:00","20.2","","8.4","","46","","","","25","","7","","19.3","","88.89","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 13:00","2023","09","01","13:00","21.2","","8.5","","44","","","","23","","17","","19.3","","88.82","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 14:00","2023","09","01","14:00","22.1","","9.0","","43","","","","20","","13","","19.3","","88.77","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 15:00","2023","09","01","15:00","23.4","","10.1","","42","","","","19","","19","","19.3","","88.68","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 16:00","2023","09","01","16:00","23.5","","9.6","","41","","","","18","","22","","16.1","","88.61","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 17:00","2023","09","01","17:00","23.6","","9.9","","41","","","","19","","27","","19.3","","88.51","","25","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 18:00","2023","09","01","18:00","22.8","","10.7","","46","","","","17","","28","","19.3","","88.46","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 19:00","2023","09","01","19:00","20.8","","10.1","","50","","","","17","","23","","19.3","","88.43","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 20:00","2023","09","01","20:00","19.4","","10.5","","56","","","","18","","19","","19.3","","88.41","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 21:00","2023","09","01","21:00","18.8","","10.7","","59","","","","18","","7","","16.1","","88.42","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 22:00","2023","09","01","22:00","16.2","","10.7","","70","","","","19","","6","","16.1","","88.40","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-01 23:00","2023","09","01","23:00","17.1","","9.4","","60","","","","14","","4","","16.1","","88.40","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 00:00","2023","09","02","00:00","15.6","","6.7","","55","","","","36","","2","","16.1","","88.36","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 01:00","2023","09","02","01:00","14.9","","6.5","","57","","","","16","","10","","16.1","","88.34","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 02:00","2023","09","02","02:00","13.9","","6.2","","59","","","","18","","13","","16.1","","88.35","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 03:00","2023","09","02","03:00","19.8","","4.8","","37","","","","28","","17","","16.1","","88.36","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 04:00","2023","09","02","04:00","20.5","","4.1","","34","","","","28","","27","","16.1","","88.38","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 05:00","2023","09","02","05:00","20.1","","4.2","","35","","","","28","","28","","16.1","","88.40","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 06:00","2023","09","02","06:00","19.5","","4.5","","37","","","","31","","21","","32.2","","88.44","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 07:00","2023","09","02","07:00","19.8","","5.0","","37","","","","32","","8","","48.3","","88.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 08:00","2023","09","02","08:00","21.6","","6.2","","36","","","","1","","4","","48.3","","88.52","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 09:00","2023","09","02","09:00","22.1","","7.1","","37","","","","10","","12","","48.3","","88.55","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 10:00","2023","09","02","10:00","22.8","","7.0","","36","","","","14","","12","","48.3","","88.55","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 11:00","2023","09","02","11:00","24.6","","7.0","","32","","","","11","","7","","32.2","","88.53","","25","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 12:00","2023","09","02","12:00","25.5","","6.8","","30","","","","16","","7","","32.2","","88.52","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 13:00","2023","09","02","13:00","25.6","","6.1","","28","","","","20","","9","","24.1","","88.47","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 14:00","2023","09","02","14:00","26.6","","5.7","","26","","","","16","","7","","24.1","","88.40","","26","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 15:00","2023","09","02","15:00","27.2","","6.0","","25","","","","15","","12","","24.1","","88.37","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 16:00","2023","09","02","16:00","26.6","","7.4","","29","","","","17","","13","","24.1","","88.34","","27","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 17:00","2023","09","02","17:00","26.4","","7.2","","29","","","","17","","11","","24.1","","88.30","","26","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 18:00","2023","09","02","18:00","25.3","","8.4","","34","","","","18","","9","","24.1","","88.32","","26","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 19:00","2023","09","02","19:00","24.8","","7.8","","33","","","","28","","3","","24.1","","88.33","","25","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 20:00","2023","09","02","20:00","23.9","","6.3","","32","","","","14","","5","","24.1","","88.40","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 21:00","2023","09","02","21:00","21.6","","6.7","","38","","","","36","","2","","16.1","","88.43","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 22:00","2023","09","02","22:00","21.2","","5.8","","36","","","","20","","5","","16.1","","88.42","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-02 23:00","2023","09","02","23:00","20.2","","5.5","","38","","","","6","","4","","16.1","","88.44","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 00:00","2023","09","03","00:00","17.8","","6.3","","47","","","","33","","10","","16.1","","88.45","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 01:00","2023","09","03","01:00","14.7","","7.9","","63","","","","35","","9","","16.1","","88.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 02:00","2023","09","03","02:00","14.9","","8.8","","66","","","","34","","14","","16.1","","88.48","","","","","","Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 03:00","2023","09","03","03:00","13.6","","8.6","","72","","","","35","","15","","16.1","","88.50","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 04:00","2023","09","03","04:00","13.5","","8.5","","72","","","","32","","9","","12.9","","88.51","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 05:00","2023","09","03","05:00","11.1","","8.1","","82","","","","2","","13","","12.9","","88.41","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-09-03 06:00","2023","09","03","06:00","11.2","","7.2","","76","","","","17","","7","","4.0","","88.37","","","","","","Smoke"
